question,answer
"At the farmers market, four friends each bought a different fruit at different prices. Each fruit had a different color wrapper. Can you determine which fruit each friend bought, its price, and wrapper color?
Categories:
['Price', 'Fruit', 'Color']

Price: ['$2.50', '$3.75', '$4.25', '$5.00']
Fruit: ['Apple', 'Banana', 'Orange', 'Grape']
Color: ['Red', 'Yellow', 'Orange', 'Purple']


Clues:
1. The fruit priced at $5.00 comes with a Purple wrapper. 
2. The Banana costs $4.25 and comes with a Yellow wrapper. 
3. The fruit priced at $2.50 is either the Grape or has the Orange wrapper. 
4. The fruit priced at $3.75 is the Orange fruit.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$5.00 | Apple | Purple
$4.25 | Banana | Yellow
$2.50 | Grape | Red
$3.75 | Orange | Orange
"
"At the local farmers market, four different fruits are displayed with varying prices and colors. Using the given clues, determine the price, color, and type of each fruit.
Categories:
['Price', 'Color', 'Fruit']

Price: ['$2.50', '$3.75', '$4.25', '$5.00']
Color: ['Red', 'Green', 'Yellow', 'Orange']
Fruit: ['Apple', 'Kiwi', 'Banana', 'Orange']


Clues:
1. The banana is green and costs $2.50. 
2. The apple is orange and costs $4.25. 3
. The orange fruit is yellow and costs $3.75.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$3.75 | Yellow | Orange
$2.50 | Green | Banana
$5.00 | Red | Kiwi
$4.25 | Orange | Apple
"
"Four children - Alice, Bob, Charlie, and Diana - each have a different pet and receive different weekly allowances. The pets are a dog, cat, bird, and fish. The weekly allowances are $5, $10, $15, and $20. Based on the clues, can you determine which child has which pet and receives which allowance?
Categories:
['Person', 'Pet', 'WeeklyAllowance']

Person: ['Alice', 'Bob', 'Charlie', 'Diana']
Pet: ['Dog', 'Cat', 'Bird', 'Fish']
WeeklyAllowance: ['$5', '$10', '$15', '$20']

Clues:
1. Bob has the fish and receives $20 allowance. 
2. Diana has the dog and receives $5 allowance. 
3. Alice has the cat and receives $15 allowance.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","Bob | Fish | $20
Charlie | Bird | $10
Alice | Cat | $15
Diana | Dog | $5
"
"Four friends - Alice, Bob, Charlie, and Diana - each have a different pet and are different ages. Can you determine who has which pet and how old each person is?
Categories:
['Person', 'Pet', 'Age']

Person: ['Alice', 'Bob', 'Charlie', 'Diana']
Pet: ['Dog', 'Cat', 'Bird', 'Fish']
Age: ['5 years', '10 years', '15 years', '20 years']

Clues:
1. Alice owns a dog and is 10 years old. 
2. Bob either owns a fish or is 20 years old. 
3. Charlie either owns a bird or is 15 years old. 
4. The person who owns a bird is 20 years old. 
5. Diana owns a bird.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","Alice | Dog | 10 years
Charlie | Cat | 15 years
Bob | Fish | 5 years
Diana | Bird | 20 years
"
"Four friends - Alice, Bob, Carol, and Dave - each have a different pet and are different ages. Can you determine who owns which pet and how old each person is?
Categories:
['Person', 'Pet', 'Age']

Person: ['Alice', 'Bob', 'Carol', 'Dave']
Pet: ['Dog', 'Cat', 'Bird', 'Fish']
Age: ['5 years', '10 years', '15 years', '20 years']

Clues:
1. The person who is 5 years old has a dog. 
2. The person who owns a cat is 15 years old. 
3. The fish is owned by either Bob or the person who is 15 years old. 
4. Dave is 5 years old. 
5. Carol is 20 years old.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","Alice | Cat | 15 years
Dave | Dog | 5 years
Bob | Fish | 10 years
Carol | Bird | 20 years
"
"Mandy is compiling a report on some of the most recent animals to be placed on the endangered species list. Help her determine the current estimated population number for each species, as well as the country in which it lives and the year in which it was officially recognized as endangered.
Categories:
['Years', 'Species', 'Population']

Years: ['2006', '2007', '2008', '2009']
Species: ['dobra dingo', 'eldar elk', 'nibner newt', 'perens pig']
Population: ['315', '350', '385', '455']

Clues:
1. The dobra dingo was listed 2 years after the species with a population size of 315.
2. The species with a population size of 350 was listed 2 years before the perens pig.
3. The four species are the perens pig, the animal added to the list in 2007, the species with a population size of 455 and the animal with a population size of 350.
4. The nibner newt was recognized as endangered in 2006.

While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","2006 | nibner newt | 350
2007 | eldar elk | 315
2008 | perens pig | 385
2009 | dobra dingo | 455"
"Match each auctioned spider specimen to its owner and country of origin, and determine the final price paid for each.
Categories:
['Price', 'Person', 'Spider']

Price: ['$75', '$45', '$90', '$60']
Person: ['Lonnie', 'Anthony', 'Jan', 'Zachary']
Spider: ['archaenido', 'whip spider', 'cart spider', 'wolf spider']

Clues:
1. The cart spider cost 15 dollars more than the whip spider.
2. Anthony's purchase cost 15 dollars more than Lonnie's purchase.
3. The wolf spider cost more than Zachary's purchase.
4. Zachary's purchase cost more than Jan's purchase.
5. The whip spider cost 15 dollars less than Lonnie's purchase.

While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$45 | Jan | archaenido
$60 | Zachary | whip spider
$75 | Lonnie | cart spider
$90 | Anthony | wolf spider"
"Four friends - Alice, Bob, Carol, and David - each bought a different pet at the local animal shelter. The pets available were a Dog, Cat, Bird, and Fish, each priced at $150, $200, $250, and $300 respectively. Each person bought exactly one pet at a different price point.
Categories:
['Price', 'Person', 'Pet']

Price: ['$150', '$200', '$250', '$300']
Person: ['Alice', 'Bob', 'Carol', 'David']
Pet: ['Dog', 'Cat', 'Bird', 'Fish']

Clues:
1. The person who bought the $200 pet, Bob, and the person who bought the Cat are all the same person.
2. The $300 pet was bought by either Alice or the person who bought the Bird.
3. The $250 pet was bought by either David or the person who bought the Fish.
4. The person who bought the $150 pet and Alice are the same person.
5. Alice and the person who bought the Fish are the same person.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$250 | David | Dog
$300 | Carol | Bird
$150 | Alice | Fish
$200 | Bob | Cat
"
"Four friends - Alice, Bob, Carol, and David - each bought a different pet at the local animal store. The pets available were a Cat, Dog, Bird, and Fish, each priced at $150, $200, $250, and $300 respectively. Each person bought exactly one pet at its listed price.
Categories:
['Price', 'Person', 'Pet']

Price: ['$150', '$200', '$250', '$300']
Person: ['Alice', 'Bob', 'Carol', 'David']
Pet: ['Cat', 'Dog', 'Bird', 'Fish']

Clues:
1. The person who bought the $300 pet is Carol, and she bought the Bird.
2. David bought the Cat for $150.
3. Either Alice bought the $250 pet, or the Dog cost $250 (or both).
4. Alice bought the $200 pet.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$250 | Bob | Dog
$150 | David | Cat
$300 | Carol | Bird
$200 | Alice | Fish
"
"Four friends - Alice, Bob, Charlie, and Diana - each bought a new car from different brands: Toyota, Honda, Ford, and BMW. Each car had a different price tag of $25,000, $32,000, $38,000, or $45,000. Based on their preferences and budget constraints, each person ended up with a unique combination of car brand and price.
Categories:
['Price', 'Person', 'Car Brand']

Price: ['$25000', '$32000', '$38000', '$45000']
Person: ['Alice', 'Bob', 'Charlie', 'Diana']
Car Brand: ['Toyota', 'Honda', 'Ford', 'BMW']

Clues:
1. The person who bought the BMW for $38,000 is Charlie. 
2. The person who paid $45,000 either is Alice or bought a Honda. 
3. The person who paid $25,000 either is Bob or bought a Toyota. 
4. Bob bought a Honda. 
5. Bob paid $32,000 for his car.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$45000 | Alice | Ford
$32000 | Bob | Honda
$25000 | Diana | Toyota
$38000 | Charlie | BMW
"
